1: Magyarországról az első térképet Bakócz_Tamás érsek Lázár nevű titkára készítette , valószínűleg az 1510-es években . # #
-első térképet Bakócz_Tamás
első első MN.none
első első MN.defnone
első első MN.defnone
-Bakócz_Tamás érsek Lázár
Bakócz_Tamás Bakócz_Tamás TULN.xne
Bakócz_Tamás Bakócz_Tamás TULN.xne
Bakócz_Tamás Bakócz_Tamás TULN.suff
-érsek Lázár nevű
érsek érsek FN.gen
érsek érsek FN.suff
érsek érsek FN.suff
-Lázár nevű titkára
Lázár Lázár TULN.none
Lázár Lázár TULN.none
Lázár Lázár TULN.none
-nevű titkára készítette
nevű nevű MN.none
nevű nevű MN.none
nevű nevű MN.none
-titkára készítette ,
titkára titkár FN.PSe3.nom
titkára titkár FN.PSe3.nom
titkára titkár FN.PSe3.nom
-1510-es években .
1510-es 1510-es MN.none
1510-es 1510-es MN.none
1510-es 1510-es MN.none

 
2: Ha jót cselekszem. # #
 
 
3: A délutáni napban képzelődhettem . # #
-délutáni napban képzelődhettem
délutáni délutáni MN.none
délutáni délutáni MN.none
délutáni délutáni MN.none

 
4: Okait e látszattartalomnak nem elsősorban a tehetetlenségben találnánk meg , hanem az ideológiai megkötöttségekben , a sajtó függetlenségét és szabadságát is korlátozó központi vezérlésben . # #
-ideológiai megkötöttségekben ,
ideológiai ideológiai MN.none
ideológiai ideológiai MN.defnone
ideológiai ideológiai MN.defnone
-sajtó függetlenségét és
sajtó sajtó FN.gen
sajtó sajtó FN.gen
sajtó sajtó FN.gen
-korlátozó központi vezérlésben
korlátozó korlátoz IGE._OKEP.none
korlátozó korlátoz IGE._OKEP.defnone
korlátozó korlátoz IGE._OKEP.defnone
-központi vezérlésben .
központi központi MN.none
központi központi MN.none
központi központi MN.none

 
5: Sokszor én is belecsúszok abba a hibába . # #
-én is belecsúszok
én én FN_NM.e1.nom
én én FN_NM.e1.nom
én én FN_NM.e1.nom

 
6: Több levelet írt a másik honti jóbarátnak és munkatársnak , Pajor_István 1848_49-es nemzetőrnek , megyei tisztviselőnek , írónak és költőnek is . # #
-Több levelet írt
Több sok SZN._FOK.none
Több sok SZN._FOK.none
Több sok SZN._FOK.none
-másik honti jóbarátnak
másik másik MN_NM.none
másik másik MN_NM.defnone
másik másik MN_NM.defnone
-honti jóbarátnak és
honti honti MN.none
honti honti MN.defnone
honti honti MN.defnone
-Pajor_István 1848_49-es nemzetőrnek
Pajor_István Pajor_István TULN.xne
Pajor_István Pajor_István TULN.xne
Pajor_István Pajor_István TULN.suff
-1848_49-es nemzetőrnek ,
1848_49-es 1848_49-es MN.none
1848_49-es 1848_49-es MN.defnone
1848_49-es 1848_49-es MN.defnone
-megyei tisztviselőnek ,
megyei megyei MN.none
megyei megyei MN.defnone
megyei megyei MN.defnone

 
7: ( Gördeszkások élesen , suhantak el az Ikrek mellett , karcolva össze a decens szürke márványlapokat . # #
-Gördeszkások élesen ,
Gördeszkások gördeszkás FN.PL.nom
Gördeszkások gördeszkás FN.PL.suff
Gördeszkások gördeszkás FN.PL.suff
-Ikrek mellett ,
Ikrek iker FN.PL.none
Ikrek iker FN.PL.none
Ikrek iker FN.PL.none
-decens szürke márványlapokat
decens decens MN.none
decens decens MN.defnone
decens decens MN.defnone
-szürke márványlapokat .
szürke szürke MN.none
szürke szürke MN.none
szürke szürke MN.none

 
8: A patak tőlük keletre húzódott . # #
-patak tőlük keletre
patak patak FN.nom
patak patak FN.suff
patak patak FN.nom

 
9: A " sziget " elnevezés arra utal , . # #
-sziget " elnevezés
sziget sziget FN.xne
sziget sziget FN.xne
sziget sziget FN.suff
-elnevezés arra utal
elnevezés elnevezés FN.nom
elnevezés elnevezés FN.nom
elnevezés elnevezés FN.nom
 
 
10: Azzal érveltem ,  # #

 
11: Egy magyar paraszt rudazókötélre akasztva lóg a saját diófáján . # #
-Egy magyar paraszt
Egy egy SZN.none
Egy egy SZN.none
Egy egy SZN.none
-magyar paraszt rudazókötélre
magyar magyar MN.none
magyar magyar MN.defnone
magyar magyar MN.defnone
-paraszt rudazókötélre akasztva
paraszt paraszt MN.postag_error
paraszt paraszt MN.postag_error
paraszt paraszt MN.none
-saját diófáján .
saját saját MN.none
saját saját MN.none
saját saját MN.none

 
12: A kávéház tulajdonosa unottan támasztotta a pultot . # #
-kávéház tulajdonosa unottan
kávéház kávéház FN.gen
kávéház kávéház FN.gen
kávéház kávéház FN.gen
-tulajdonosa unottan támasztotta
tulajdonosa tulajdonos FN.PSe3.nom
tulajdonosa tulajdonos FN.PSe3.nom
tulajdonosa tulajdonos FN.PSe3.nom

 
13: Én meg is tapogattam . # #
-Én meg is
Én én FN_NM.e1.nom
Én én FN_NM.e1.suff
Én én FN_NM.e1.suff

 
14: A puszták népéről írt könyvével szinte párhuzamosan írja meg szemléletváltoztató tanulmányát Fazekas elfelejtett remekművéről . # #
-puszták népéről írt
puszták puszta FN.PL.gen
puszták puszta FN.PL.gen
puszták puszta FN.PL.gen
-írt könyvével szinte
írt ír IGE._MIB.none
írt ír IGE._MIB.none
írt ír IGE._MIB.defnone
-szemléletváltoztató tanulmányát Fazekas
szemléletváltoztató szemléletváltoztató MN.none
szemléletváltoztató szemléletváltoztató MN.none
szemléletváltoztató szemléletváltoztató MN.defnone
-Fazekas elfelejtett remekművéről
Fazekas fazekas TULN.gen
Fazekas fazekas TULN.gen
Fazekas fazekas TULN.gen
-elfelejtett remekművéről .
elfelejtett elfelejt IK.IGE._MIB.none
elfelejtett elfelejt IK.IGE._MIB.none
elfelejtett elfelejt IK.IGE._MIB.none

 
15: Én akkoriban soha nem gondolkodtam azon , # #
-Én akkoriban soha
Én én FN_NM.e1.nom
Én én FN_NM.e1.nom
Én én FN_NM.e1.nom

 
16: Talán csak tíz százalékuk válaszolt magabiztosan igennel . # #
-tíz százalékuk válaszolt
tíz tíz SZN.none
tíz tíz SZN.none
tíz tíz SZN.none
-százalékuk válaszolt magabiztosan
százalékuk százalék FN.PSt3.nom
százalékuk százalék FN.PSt3.nom
százalékuk százalék FN.PSt3.nom

 
17: Csak úgy utalnak a nagy elődre , mint ahogy József_Attila verseiben is ránk nevet Csokonai egy-egy ríme . # #
-nagy elődre ,
nagy nagy MN.none
nagy nagy MN.defnone
nagy nagy MN.defnone
-József_Attila verseiben is
József_Attila József_Attila TULN.gen
József_Attila József_Attila TULN.gen
József_Attila József_Attila TULN.gen
-Csokonai egy-egy ríme
Csokonai Csokonai TULN.gen
Csokonai Csokonai TULN.gen
Csokonai Csokonai TULN.gen
-egy-egy ríme .
egy-egy egy-egy SZN.none
egy-egy egy-egy SZN.none
egy-egy egy-egy SZN.none
-ríme . #
ríme rím FN.PSe3.nom
ríme rím FN.PSe3.nom
ríme rím FN.PSe3.nom

 
18: És én is koccintottam az öregemmel . # #
-én is koccintottam
én én FN_NM.e1.nom
én én FN_NM.e1.nom
én én FN_NM.e1.nom

 
19: Elindul reggel hazulról az ember ingujjasan vagy pulóverben . # #
-ember ingujjasan vagy
ember ember FN.nom
ember ember FN.suff
ember ember FN.suff

 
20: Ulysses-től jobbra noteszok , fényképhalmok , színes ceruzák hevernek , egy köcsögben újabb tollak és színes ceruzák , vagy száz darab . # #
-noteszok , fényképhalmok
noteszok notesz FN.PL.nom
noteszok notesz FN.PL.suff
noteszok notesz FN.PL.suff
-fényképhalmok , színes
